timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1465212408820,542,HTTP Request,200,OK,Thread Group 1-1,text,true,,11860,1,1,531,0
1465212409363,54,HTTP Request,200,OK,Thread Group 1-1,text,true,,11469,1,1,54,0
1465212409417,53,HTTP Request,200,OK,Thread Group 1-1,text,true,,11457,1,1,53,0
1465212409471,55,HTTP Request,200,OK,Thread Group 1-1,text,true,,11492,1,1,55,0
1465212409527,48,HTTP Request,200,OK,Thread Group 1-1,text,true,,11618,1,1,47,0
1465212409575,53,HTTP Request,200,OK,Thread Group 1-1,text,true,,11341,1,1,53,0
1465212409628,54,HTTP Request,200,OK,Thread Group 1-1,text,true,,12164,1,1,53,0
1465212409682,51,HTTP Request,200,OK,Thread Group 1-1,text,true,,11836,1,1,50,0
1465212409733,62,HTTP Request,200,OK,Thread Group 1-1,text,true,,13399,1,1,62,0
1465212409795,49,HTTP Request,200,OK,Thread Group 1-1,text,true,,11637,1,1,48,0
1465212409844,47,HTTP Request,200,OK,Thread Group 1-1,text,true,,11949,1,1,46,0
1465212409891,49,HTTP Request,200,OK,Thread Group 1-1,text,true,,11538,1,1,49,0
1465212409940,46,HTTP Request,200,OK,Thread Group 1-1,text,true,,11403,1,1,46,0
1465212409986,45,HTTP Request,200,OK,Thread Group 1-1,text,true,,11383,1,1,44,0
1465212410031,47,HTTP Request,200,OK,Thread Group 1-1,text,true,,11323,1,1,47,0
1465212410078,50,HTTP Request,200,OK,Thread Group 1-1,text,true,,11618,1,1,50,0
1465212410129,47,HTTP Request,200,OK,Thread Group 1-1,text,true,,11334,1,1,47,0
1465212410176,49,HTTP Request,200,OK,Thread Group 1-1,text,true,,11403,1,1,49,0
1465212410225,44,HTTP Request,200,OK,Thread Group 1-1,text,true,,11109,1,1,43,0
1465212410269,94,HTTP Request,200,OK,Thread Group 1-1,text,true,,17541,1,1,83,0
1465212410363,56,HTTP Request,200,OK,Thread Group 1-1,text,true,,13763,1,1,56,0
1465212410420,47,HTTP Request,200,OK,Thread Group 1-1,text,true,,11597,1,1,47,0
1465212410468,43,HTTP Request,200,OK,Thread Group 1-1,text,true,,11367,1,1,43,0
1465212410512,45,HTTP Request,200,OK,Thread Group 1-1,text,true,,11335,1,1,44,0
1465212410557,50,HTTP Request,200,OK,Thread Group 1-1,text,true,,11354,1,1,50,0
1465212410607,52,HTTP Request,200,OK,Thread Group 1-1,text,true,,11414,1,1,51,0
1465212410659,44,HTTP Request,200,OK,Thread Group 1-1,text,true,,11484,1,1,44,0
1465212410704,60,HTTP Request,200,OK,Thread Group 1-1,text,true,,11735,1,1,60,0
1465212410764,46,HTTP Request,200,OK,Thread Group 1-1,text,true,,11676,1,1,46,0
1465212410810,46,HTTP Request,200,OK,Thread Group 1-1,text,true,,11630,1,1,46,0
1465212410856,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,11456,1,1,58,0
1465212410914,54,HTTP Request,200,OK,Thread Group 1-1,text,true,,11817,1,1,54,0
1465212410968,44,HTTP Request,200,OK,Thread Group 1-1,text,true,,11334,1,1,43,0
1465212411012,45,HTTP Request,200,OK,Thread Group 1-1,text,true,,11427,1,1,45,0
1465212411057,50,HTTP Request,200,OK,Thread Group 1-1,text,true,,11328,1,1,50,0
1465212411107,45,HTTP Request,200,OK,Thread Group 1-1,text,true,,11113,1,1,44,0
1465212411152,46,HTTP Request,200,OK,Thread Group 1-1,text,true,,11327,1,1,46,0
1465212411198,47,HTTP Request,200,OK,Thread Group 1-1,text,true,,11565,1,1,46,0
1465212411245,76,HTTP Request,200,OK,Thread Group 1-1,text,true,,11573,1,1,75,0
1465212411321,46,HTTP Request,200,OK,Thread Group 1-1,text,true,,11292,1,1,46,0
1465212411367,46,HTTP Request,200,OK,Thread Group 1-1,text,true,,11680,1,1,46,0
1465212411414,45,HTTP Request,200,OK,Thread Group 1-1,text,true,,11645,1,1,45,0
1465212411459,46,HTTP Request,200,OK,Thread Group 1-1,text,true,,11589,1,1,45,0
1465212411505,45,HTTP Request,200,OK,Thread Group 1-1,text,true,,11736,1,1,45,0
1465212411550,51,HTTP Request,200,OK,Thread Group 1-1,text,true,,12164,1,1,50,0
1465212411601,53,HTTP Request,200,OK,Thread Group 1-1,text,true,,11687,1,1,52,0
1465212411654,46,HTTP Request,200,OK,Thread Group 1-1,text,true,,11486,1,1,46,0
1465212411701,48,HTTP Request,200,OK,Thread Group 1-1,text,true,,11322,1,1,48,0
1465212411749,52,HTTP Request,200,OK,Thread Group 1-1,text,true,,11600,1,1,51,0
1465212411801,76,HTTP Request,200,OK,Thread Group 1-1,text,true,,12742,1,1,76,0
1465212411877,45,HTTP Request,200,OK,Thread Group 1-1,text,true,,11397,1,1,45,0
1465212411922,44,HTTP Request,200,OK,Thread Group 1-1,text,true,,11457,1,1,43,0
1465212411966,43,HTTP Request,200,OK,Thread Group 1-1,text,true,,11577,1,1,43,0
1465212412010,43,HTTP Request,200,OK,Thread Group 1-1,text,true,,11703,1,1,43,0
