timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1465209863459,272,HTTP Request,200,OK,Thread Group 1-1,text,true,,12070,1,1,26,0
1465209863732,70,HTTP Request,200,OK,Thread Group 1-1,text,true,,11707,1,1,14,0
1465209863802,69,HTTP Request,200,OK,Thread Group 1-1,text,true,,11694,1,1,13,0
1465209863872,74,HTTP Request,200,OK,Thread Group 1-1,text,true,,11726,1,1,13,0
1465209863946,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,11854,1,1,14,0
1465209864017,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,11583,1,1,14,0
1465209864088,72,HTTP Request,200,OK,Thread Group 1-1,text,true,,12401,1,1,13,0
1465209864160,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,12075,1,1,13,0
1465209864228,80,HTTP Request,200,OK,Thread Group 1-1,text,true,,13643,1,1,13,0
1465209864308,65,HTTP Request,200,OK,Thread Group 1-1,text,true,,11874,1,1,13,0
1465209864373,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,12192,1,1,13,0
1465209864440,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,11773,1,1,12,0
1465209864499,53,HTTP Request,200,OK,Thread Group 1-1,text,true,,11637,1,1,12,0
1465209864552,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,11624,1,1,13,0
1465209864610,55,HTTP Request,200,OK,Thread Group 1-1,text,true,,11560,1,1,13,0
1465209864666,54,HTTP Request,200,OK,Thread Group 1-1,text,true,,11854,1,1,12,0
1465209864720,53,HTTP Request,200,OK,Thread Group 1-1,text,true,,11570,1,1,12,0
1465209864773,54,HTTP Request,200,OK,Thread Group 1-1,text,true,,11637,1,1,13,0
1465209864828,50,HTTP Request,200,OK,Thread Group 1-1,text,true,,11350,1,1,12,0
1465209864879,98,HTTP Request,200,OK,Thread Group 1-1,text,true,,17769,1,1,12,0
1465209864978,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,13995,1,1,12,0
1465209865043,54,HTTP Request,200,OK,Thread Group 1-1,text,true,,11833,1,1,12,0
1465209865098,53,HTTP Request,200,OK,Thread Group 1-1,text,true,,11601,1,1,12,0
1465209865151,53,HTTP Request,200,OK,Thread Group 1-1,text,true,,11576,1,1,13,0
1465209865204,53,HTTP Request,200,OK,Thread Group 1-1,text,true,,11594,1,1,13,0
1465209865257,54,HTTP Request,200,OK,Thread Group 1-1,text,true,,11643,1,1,13,0
1465209865311,53,HTTP Request,200,OK,Thread Group 1-1,text,true,,11719,1,1,12,0
1465209865364,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,11974,1,1,12,0
1465209865423,57,HTTP Request,200,OK,Thread Group 1-1,text,true,,11914,1,1,12,0
1465209865481,107,HTTP Request,200,OK,Thread Group 1-1,text,true,,11865,1,1,25,0
1465209865588,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,11692,1,1,13,0
1465209865652,67,HTTP Request,200,OK,Thread Group 1-1,text,true,,12047,1,1,13,0
1465209865719,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,11570,1,1,12,0
1465209865783,64,HTTP Request,200,OK,Thread Group 1-1,text,true,,11666,1,1,12,0
1465209865848,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,11564,1,1,12,0
1465209865911,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,11358,1,1,13,0
1465209865973,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,11564,1,1,12,0
1465209866037,66,HTTP Request,200,OK,Thread Group 1-1,text,true,,11800,1,1,12,0
1465209866103,68,HTTP Request,200,OK,Thread Group 1-1,text,true,,11802,1,1,13,0
1465209866172,54,HTTP Request,200,OK,Thread Group 1-1,text,true,,11521,1,1,12,0
1465209866226,60,HTTP Request,200,OK,Thread Group 1-1,text,true,,11917,1,1,12,0
1465209866286,54,HTTP Request,200,OK,Thread Group 1-1,text,true,,11881,1,1,12,0
1465209866340,55,HTTP Request,200,OK,Thread Group 1-1,text,true,,11827,1,1,12,0
1465209866395,55,HTTP Request,200,OK,Thread Group 1-1,text,true,,11977,1,1,13,0
1465209866450,56,HTTP Request,200,OK,Thread Group 1-1,text,true,,12401,1,1,12,0
1465209866506,55,HTTP Request,200,OK,Thread Group 1-1,text,true,,11919,1,1,13,0
