timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1465214299036,910,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2122,10,10,200,0
1465214299039,915,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2122,10,10,201,0
1465214299039,917,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2122,10,10,203,0
1465214299036,925,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2122,10,10,202,0
1465214299036,926,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2122,10,10,203,0
1465214299037,928,HTTP Request,500,Internal Server Error,Thread Group 1-8,text,false,,2122,10,10,201,0
1465214299037,931,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2122,10,10,199,0
1465214299038,934,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2122,10,10,201,0
1465214299956,61,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2125,10,10,12,0
1465214299947,77,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2125,10,10,16,0
1465214299962,74,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2125,10,10,13,0
1465214299961,121,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2125,10,10,18,0
1465214299954,130,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2125,10,10,24,0
1465214299036,1110,HTTP Request,500,Internal Server Error,Thread Group 1-1,text,false,,2285,10,10,202,0
1465214299972,177,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2125,10,10,12,0
1465214300017,133,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2124,10,10,13,0
1465214300024,132,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2124,10,10,12,0
1465214299036,1127,HTTP Request,500,Internal Server Error,Thread Group 1-5,text,false,,2285,10,10,202,0
1465214300084,141,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2124,10,10,20,0
1465214300149,94,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2124,10,10,13,0
1465214300156,103,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2121,10,10,13,0
1465214300150,113,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2121,10,10,12,0
1465214299965,353,HTTP Request,200,OK,Thread Group 1-8,text,true,,11798,10,10,14,0
1465214300146,176,HTTP Request,200,OK,Thread Group 1-1,text,true,,11707,10,10,13,0
1465214300036,287,HTTP Request,200,OK,Thread Group 1-3,text,true,,11785,10,10,12,0
1465214300082,248,HTTP Request,200,OK,Thread Group 1-2,text,true,,11785,10,10,21,0
1465214300225,114,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2121,10,10,13,0
1465214299968,377,HTTP Request,200,OK,Thread Group 1-7,text,true,,11798,10,10,12,0
1465214300322,28,HTTP Request,500,Internal Server Error,Thread Group 1-1,text,false,,2124,10,10,13,0
1465214300264,92,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2123,10,10,12,0
1465214300330,27,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2121,10,10,12,0
1465214300259,108,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2123,10,10,13,0
1465214300346,26,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2124,10,10,12,0
1465214300323,52,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2121,10,10,13,0
1465214300164,215,HTTP Request,200,OK,Thread Group 1-5,text,true,,11707,10,10,12,0
1465214300319,81,HTTP Request,200,OK,Thread Group 1-8,text,true,,11694,10,10,12,0
1465214300350,65,HTTP Request,500,Internal Server Error,Thread Group 1-1,text,false,,2121,10,10,12,0
1465214300243,172,HTTP Request,200,OK,Thread Group 1-6,text,true,,11817,10,10,12,0
1465214300356,65,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2129,10,10,13,0
1465214300415,34,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2123,10,10,14,0
1465214300357,95,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2123,10,10,12,0
1465214300339,119,HTTP Request,200,OK,Thread Group 1-10,text,true,,11945,10,10,12,0
1465214300368,97,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2129,10,10,12,0
1465214300375,98,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2123,10,10,12,0
1465214300372,105,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2121,10,10,13,0
1465214300380,106,HTTP Request,200,OK,Thread Group 1-5,text,true,,11694,10,10,13,0
1465214300400,104,HTTP Request,200,OK,Thread Group 1-8,text,true,,11726,10,10,13,0
1465214300486,28,HTTP Request,500,Internal Server Error,Thread Group 1-5,text,false,,2121,10,10,12,0
1465214300421,96,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2124,10,10,13,0
1465214300449,71,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2129,10,10,12,0
1465214300452,85,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2129,10,10,12,0
1465214300458,88,HTTP Request,200,OK,Thread Group 1-10,text,true,,11583,10,10,12,0
1465214300415,138,HTTP Request,200,OK,Thread Group 1-1,text,true,,11854,10,10,13,0
1465214300547,36,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2124,10,10,12,0
1465214300477,106,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2123,10,10,12,0
1465214300553,31,HTTP Request,500,Internal Server Error,Thread Group 1-1,text,false,,2129,10,10,12,0
1465214300473,111,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2129,10,10,12,0
1465214300504,88,HTTP Request,200,OK,Thread Group 1-8,text,true,,11854,10,10,12,0
1465214300520,88,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2124,10,10,12,0
1465214300465,155,HTTP Request,200,OK,Thread Group 1-4,text,true,,12492,10,10,12,0
1465214300514,116,HTTP Request,200,OK,Thread Group 1-5,text,true,,11854,10,10,12,0
1465214300537,95,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2124,10,10,12,0
1465214300621,27,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2126,10,10,12,0
1465214300583,67,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2129,10,10,13,0
1465214300585,69,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2124,10,10,12,0
1465214300583,72,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2126,10,10,13,0
1465214300592,68,HTTP Request,200,OK,Thread Group 1-8,text,true,,11583,10,10,12,0
1465214300517,146,HTTP Request,200,OK,Thread Group 1-9,text,true,,12166,10,10,13,0
1465214300664,26,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2131,10,10,12,0
1465214300632,62,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2126,10,10,14,0
1465214300660,35,HTTP Request,500,Internal Server Error,Thread Group 1-8,text,false,,2124,10,10,13,0
1465214300609,86,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2126,10,10,12,0
1465214300630,93,HTTP Request,200,OK,Thread Group 1-5,text,true,,11583,10,10,18,0
1465214300650,76,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2124,10,10,12,0
1465214300654,76,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2126,10,10,12,0
1465214300655,80,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2131,10,10,13,0
1465214300690,65,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2124,10,10,14,0
1465214300584,178,HTTP Request,200,OK,Thread Group 1-1,text,true,,12401,10,10,13,0
1465214300695,83,HTTP Request,500,Internal Server Error,Thread Group 1-8,text,false,,2126,10,10,16,0
1465214300648,131,HTTP Request,200,OK,Thread Group 1-4,text,true,,13643,10,10,12,0
1465214300696,96,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2131,10,10,15,0
1465214300762,31,HTTP Request,500,Internal Server Error,Thread Group 1-1,text,false,,2126,10,10,12,0
1465214300726,72,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2126,10,10,12,0
1465214300730,77,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2131,10,10,13,0
1465214300736,80,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2124,10,10,13,0
1465214300723,97,HTTP Request,200,OK,Thread Group 1-5,text,true,,12401,10,10,12,0
1465214300694,149,HTTP Request,200,OK,Thread Group 1-2,text,true,,13643,10,10,16,0
1465214300779,64,HTTP Request,200,OK,Thread Group 1-4,text,true,,11874,10,10,13,0
1465214300778,76,HTTP Request,500,Internal Server Error,Thread Group 1-8,text,false,,2131,10,10,12,0
1465214300793,69,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2124,10,10,13,0
1465214300843,26,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2124,10,10,12,0
1465214300843,27,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2130,10,10,13,0
1465214300798,77,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2131,10,10,12,0
1465214300793,83,HTTP Request,500,Internal Server Error,Thread Group 1-1,text,false,,2131,10,10,14,0
1465214300820,82,HTTP Request,200,OK,Thread Group 1-5,text,true,,12075,10,10,12,0
1465214300755,152,HTTP Request,200,OK,Thread Group 1-9,text,true,,12192,10,10,13,0
1465214300854,58,HTTP Request,500,Internal Server Error,Thread Group 1-8,text,false,,2124,10,10,13,0
1465214300863,59,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2130,10,10,12,0
1465214300902,27,HTTP Request,500,Internal Server Error,Thread Group 1-5,text,false,,2131,10,10,13,0
1465214300869,63,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2130,10,10,12,0
1465214300907,27,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2122,10,10,13,0
1465214300870,68,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2122,10,10,12,0
1465214300807,147,HTTP Request,200,OK,Thread Group 1-3,text,true,,11874,10,10,12,0
1465214300816,143,HTTP Request,200,OK,Thread Group 1-10,text,true,,12192,10,10,12,0
1465214300912,65,HTTP Request,500,Internal Server Error,Thread Group 1-8,text,false,,2130,10,10,12,0
1465214300954,27,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2130,10,10,12,0
1465214300922,62,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2122,10,10,13,0
1465214300929,60,HTTP Request,500,Internal Server Error,Thread Group 1-5,text,false,,2124,10,10,12,0
1465214300875,122,HTTP Request,200,OK,Thread Group 1-7,text,true,,11874,10,10,13,0
1465214300934,73,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2121,10,10,20,0
1465214300932,83,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2122,10,10,22,0
1465214300876,150,HTTP Request,200,OK,Thread Group 1-1,text,true,,11874,10,10,13,0
1465214300997,33,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2130,10,10,13,0
1465214300960,83,HTTP Request,200,OK,Thread Group 1-10,text,true,,11773,10,10,12,0
1465214300981,70,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2122,10,10,12,0
1465214301026,36,HTTP Request,500,Internal Server Error,Thread Group 1-1,text,false,,2130,10,10,21,0
1465214300938,139,HTTP Request,200,OK,Thread Group 1-4,text,true,,11637,10,10,17,0
1465214300985,96,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2121,10,10,12,0
1465214301043,39,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2121,10,10,25,0
1465214301007,76,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2128,10,10,12,0
1465214301015,71,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2121,10,10,12,0
1465214300977,125,HTTP Request,200,OK,Thread Group 1-8,text,true,,11773,10,10,12,0
1465214301051,66,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2121,10,10,24,0
1465214301077,41,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2128,10,10,24,0
1465214300989,144,HTTP Request,200,OK,Thread Group 1-5,text,true,,12192,10,10,12,0
1465214301031,115,HTTP Request,200,OK,Thread Group 1-7,text,true,,11773,10,10,19,0
1465214301081,69,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2128,10,10,24,0
1465214301102,48,HTTP Request,500,Internal Server Error,Thread Group 1-8,text,false,,2121,10,10,24,0
1465214301086,81,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2128,10,10,24,0
1465214301083,84,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2124,10,10,24,0
1465214301117,52,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2128,10,10,12,0
1465214301134,38,HTTP Request,500,Internal Server Error,Thread Group 1-5,text,false,,2122,10,10,24,0
1465214301118,58,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,false,,2124,10,10,12,0
1465214301082,110,HTTP Request,200,OK,Thread Group 1-10,text,true,,11624,10,10,12,0
1465214301063,131,HTTP Request,200,OK,Thread Group 1-1,text,true,,11773,10,10,24,0
1465214301150,60,HTTP Request,500,Internal Server Error,Thread Group 1-8,text,false,,2128,10,10,14,0
1465214301194,29,HTTP Request,500,Internal Server Error,Thread Group 1-1,text,false,,2121,10,10,13,0
1465214301192,34,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2124,10,10,15,0
1465214301169,60,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2124,10,10,13,0
1465214301167,63,HTTP Request,500,Internal Server Error,Thread Group 1-9,text,false,,2123,10,10,13,0
1465214301146,90,HTTP Request,200,OK,Thread Group 1-7,text,true,,11637,10,10,26,0
1465214301172,73,HTTP Request,500,Internal Server Error,Thread Group 1-5,text,false,,2121,10,10,13,0
1465214301150,107,HTTP Request,200,OK,Thread Group 1-6,text,true,,11560,10,10,12,0
1465214301236,26,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2128,10,10,12,0
1465214301210,55,HTTP Request,500,Internal Server Error,Thread Group 1-8,text,false,,2124,10,10,13,0
1465214301226,55,HTTP Request,500,Internal Server Error,Thread Group 1-10,text,false,,2123,10,10,12,0
1465214301167,115,HTTP Request,200,OK,Thread Group 1-2,text,true,,11560,10,10,12,0
1465214301257,26,HTTP Request,500,Internal Server Error,Thread Group 1-6,text,false,,2123,10,10,12,0
1465214301176,126,HTTP Request,200,OK,Thread Group 1-4,text,true,,11854,10,10,12,0
1465214301229,74,HTTP Request,500,Internal Server Error,Thread Group 1-3,text,false,,2123,10,10,14,0
1465214301245,73,HTTP Request,500,Internal Server Error,Thread Group 1-5,text,false,,2128,10,10,12,0
1465214301262,57,HTTP Request,500,Internal Server Error,Thread Group 1-7,text,false,,2124,10,10,12,0
1465214301282,49,HTTP Request,500,Internal Server Error,Thread Group 1-2,text,false,,2123,10,10,12,0
